V1	N	db
TAF15	6896	ChIP-Atlas
TAF7	8715	ChIP-Atlas
TAF9B	7346	ChIP-Atlas
TAL1	12877	ChIP-Atlas
TARDBP	9259	ChIP-Atlas
TBL1XR1	6341	ChIP-Atlas
TBP	13869	ChIP-Atlas
TBX18	331	ChIP-Atlas
TCF12	14192	ChIP-Atlas
TCF3	13677	ChIP-Atlas
TCF7	13152	ChIP-Atlas
TCF7L2	12508	ChIP-Atlas
TCFL5	58	ChIP-Atlas
TEAD1	11499	ChIP-Atlas
TEAD2	990	ChIP-Atlas
TFDP1	11982	ChIP-Atlas
THAP1	3968	ChIP-Atlas
THRA	10085	ChIP-Atlas
THRAP3	1904	ChIP-Atlas
TP53	13693	ChIP-Atlas
TRIM24	12140	ChIP-Atlas
TRIM28	15355	ChIP-Atlas
TRIP13	256	ChIP-Atlas
TSC22D4	48	ChIP-Atlas
TSHZ1	1078	ChIP-Atlas
U2AF1	5842	ChIP-Atlas
UBTF	12307	ChIP-Atlas
USF1	12770	ChIP-Atlas
USF2	10697	ChIP-Atlas
VEZF1	11996	ChIP-Atlas
WDR5	14385	ChIP-Atlas
XRCC3	412	ChIP-Atlas
XRCC5	10837	ChIP-Atlas
YBX1	170	ChIP-Atlas
YBX3	480	ChIP-Atlas
YY1	15326	ChIP-Atlas
ZBED1	3750	ChIP-Atlas
ZBTB11	9694	ChIP-Atlas
ZBTB12	3911	ChIP-Atlas
ZBTB2	3891	ChIP-Atlas
ZBTB33	10566	ChIP-Atlas
ZBTB40	9838	ChIP-Atlas
ZBTB5	1007	ChIP-Atlas
ZBTB7A	13765	ChIP-Atlas
ZC3H11A	408	ChIP-Atlas
ZEB2	8889	ChIP-Atlas
ZFP36	2645	ChIP-Atlas
ZFP91	12421	ChIP-Atlas
ZFX	14445	ChIP-Atlas
ZHX1	418	ChIP-Atlas
ZKSCAN1	3080	ChIP-Atlas
ZKSCAN3	56	ChIP-Atlas
ZKSCAN8	5979	ChIP-Atlas
ZMIZ1	4686	ChIP-Atlas
ZMYM3	10079	ChIP-Atlas
ZNF12	8167	ChIP-Atlas
ZNF133	303	ChIP-Atlas
ZNF134	315	ChIP-Atlas
ZNF143	13233	ChIP-Atlas
ZNF148	7228	ChIP-Atlas
ZNF165	148	ChIP-Atlas
ZNF174	246	ChIP-Atlas
ZNF175	2918	ChIP-Atlas
ZNF184	2391	ChIP-Atlas
ZNF197	3304	ChIP-Atlas
ZNF215	175	ChIP-Atlas
ZNF23	164	ChIP-Atlas
ZNF239	976	ChIP-Atlas
ZNF24	6957	ChIP-Atlas
ZNF253	35	ChIP-Atlas
ZNF257	225	ChIP-Atlas
ZNF263	11795	ChIP-Atlas
ZNF274	10657	ChIP-Atlas
ZNF280A	29	ChIP-Atlas
ZNF281	9610	ChIP-Atlas
